task_name,strong_synergy,weak_synergy,gini_coefficient_sum_num_messages,average_positive_bert,sum_num_words,Q1concept_behav,Q3type_1_planning,Q4type_2_generate,Q6type_5_cc,Q7type_7_battle,Q8type_8_performance,Q9divisible_unitary,Q10maximizing,Q11optimizing,Q13outcome_multip,Q14sol_scheme_mul,Q15dec_verifiability,Q16shared_knowledge,Q17within_sys_sol,Q18ans_recog,Q19time_solvability,Q20type_3_type_4,Q22confl_tradeoffs,Q23ss_out_uncert,Q24eureka_question,Q2intel_manip_1,Q21intellective_judg_1,Q5creativity_input_1
Allocating resources to programs,0.6702718242623642,1.2073902222777078,0.15354387321110663,0.2582745961631093,50.474137931034484,0.0,0.44,0.36,1.0,0.04,0.0,0.24,0.16,0.16,0.0,0.04,0.04,0.04,0.6956521739130435,0.0869565217391304,0.1666666666666666,0.08,0.96,0.36,0.0,0.036,0.196,0.48
Divergent Association Task,0.9793876139386796,1.1947780768120764,0.11449053054093798,0.2623737153752634,25.264367816091955,0.0,0.125,0.7916666666666666,0.0416666666666666,0.2083333333333333,0.0869565217391304,0.2272727272727272,0.5833333333333334,0.3333333333333333,0.2083333333333333,0.2083333333333333,0.6666666666666666,0.4583333333333333,0.7391304347826086,0.5217391304347826,0.5652173913043478,0.375,0.2083333333333333,1.0,0.0,0.0375,0.4666666666666667,0.7583333333333333
Guessing the correlation,0.8608376496066378,1.2612347650500608,0.1637164433474968,0.24136116501396215,37.40769230769231,0.0,0.0384615384615384,0.0,0.0769230769230769,0.1923076923076923,0.0,0.12,0.4615384615384615,0.8461538461538461,0.9230769230769232,0.6538461538461539,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.7307692307692307,1.0,1.0,0.0384615384615384,0.6538461538461539,0.1153846153846153,0.0115384615384615,0.9730769230769232,0.1461538461538461
Moral Reasoning (Disciplinary Action Case),0.6936853070048374,1.0749051788981399,0.1863275432141526,0.21698720308649846,92.97692307692307,0.0,0.12,0.24,0.88,0.0,0.16,0.1666666666666666,0.0,0.08,0.04,0.08,0.0,0.0,0.84,0.08,0.125,0.04,1.0,0.5714285714285714,0.0,0.012,0.108,0.404
Room assignment task,0.8768107815258024,1.2047740274093295,0.18287334098240968,0.34897796571067274,48.45528455284553,0.0,0.375,0.125,0.1304347826086956,0.25,0.125,0.0869565217391304,0.5416666666666666,0.7083333333333334,0.875,0.375,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.875,0.9583333333333334,0.9583333333333334,0.7916666666666666,0.875,0.125,0.05,0.9708333333333332,0.325
Sudoku,0.8390875119174466,1.1184511290758634,0.1528939886725226,0.3195891460762071,37.220338983050844,0.0454545454545454,0.1363636363636363,0.1363636363636363,0.0909090909090909,0.2272727272727272,0.9545454545454546,0.2727272727272727,0.2727272727272727,0.9090909090909092,0.9545454545454546,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,1.0,0.1818181818181818,0.0454545454545454,0.2272727272727272,0.0772727272727272,0.990909090909091,0.1818181818181818
Whac-A-Mole,0.5281600549391631,1.0930189482366566,0.03450292397660818,0.22499011836315785,12.263157894736842,0.6363636363636364,0.0,0.0,0.0,0.2857142857142857,0.0454545454545454,0.3,0.9545454545454546,0.0454545454545454,0.2272727272727272,0.5909090909090909,0.3684210526315789,0.7272727272727273,0.7333333333333333,0.4444444444444444,0.4210526315789473,0.45,0.3181818181818182,0.7727272727272727,0.0476190476190476,0.55,0.7181818181818181,0.0818181818181818
"Wolf, goat and cabbage transfer",0.8884831163332274,1.6603529340435255,0.1703080028157557,0.29537801009709147,47.333333333333336,0.0,0.75,0.3333333333333333,0.0833333333333333,0.2083333333333333,0.75,0.0869565217391304,0.375,0.7916666666666666,0.625,0.4166666666666667,1.0,0.875,1.0,1.0,0.9583333333333334,1.0,0.3333333333333333,0.2083333333333333,0.875,0.0666666666666666,0.95,0.6333333333333333
Word construction from a subset of letters,1.3581251295324281,2.6763222600955316,0.06828393828393826,0.21304011459039848,14.107692307692307,0.0,0.1818181818181818,0.9545454545454546,0.0,0.2272727272727272,0.0454545454545454,0.8636363636363636,1.0,0.1363636363636363,0.4090909090909091,0.2272727272727272,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8181818181818182,1.0,0.8636363636363636,0.0,0.4761904761904761,0.0,0.0409090909090909,0.9181818181818182,0.5909090909090909
Writing story,0.9295678828920411,1.0756945072844086,0.16832249176973868,0.2681857406582735,84.53174603174604,0.0,0.125,0.4,0.36,0.08,0.04,0.25,0.16,0.0,0.0,0.04,0.0833333333333333,0.0,0.7727272727272727,0.0952380952380952,0.2916666666666667,0.12,0.2,0.3636363636363636,0.0,0.088,0.096,0.916
